ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002649.SZ,博彦科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002654.SZ,万润科技,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002655.SZ,共达电声,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002657.SZ,中科金财,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002662.SZ,峰璟股份,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002692.SZ,远程股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002703.SZ,浙江世宝,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002706.SZ,良信股份,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002708.SZ,光洋股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002715.SZ,登云股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002725.SZ,跃岭股份,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002745.SZ,木林森,801080.SI,电子,801084.SI,光学光电子,850832.SI,LED
002756.SZ,永兴材料,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002759.SZ,天际股份,801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品
002760.SZ,凤形股份,801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料
002774.SZ,快意电梯,801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备
002779.SZ,中坚科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002786.SZ,银宝山新,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002792.SZ,通宇通讯,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002795.SZ,永和智控,801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品
002796.SZ,世嘉科技,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002813.SZ,路畅科技,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
