ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002842.SZ,翔鹭钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002850.SZ,科达利,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
002851.SZ,麦格米特,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002855.SZ,捷荣技术,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002861.SZ,瀛通通讯,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002863.SZ,今飞凯达,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002876.SZ,三利谱,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002879.SZ,长缆科技,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002882.SZ,金龙羽,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002888.SZ,惠威科技,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002902.SZ,铭普光磁,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002906.SZ,华阳集团,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
002912.SZ,中新赛克,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002913.SZ,奥士康,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002916.SZ,深南电路,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002920.SZ,德赛西威,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002921.SZ,联诚精密,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
002927.SZ,泰永长征,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002933.SZ,新兴装备,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002938.SZ,鹏鼎控股,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002947.SZ,恒铭达,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002952.SZ,亚世光电,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002953.SZ,日丰股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002955.SZ,鸿合科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002962.SZ,五方光电,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
