column,null_pct,inf_count,std,abs_p99,max_abs,flag
hm_net_5d,9.0893,0,2.939553387576952e-07,1.1016226867793646e-06,2.887261496493646e-05,DEAD_VAR
hm_net_20d,9.0893,0,5.85517211617294e-07,2.6619520662061073e-06,5.812363534159637e-05,DEAD_VAR
hm_net_60d,9.0893,0,9.921088069875464e-07,4.585108738064024e-06,5.705816192138609e-05,DEAD_VAR
hm_seat_count_30d,3.3110,0,3.8903398963699773,19.0,131.0,
hm_top3_concentration,3.3110,0,0.09926677701679597,0.7998139936466976,1.0,
hm_recent_active,3.3110,0,0.18406690165886574,1.0,1.0,
hk_hold_pct,44.5304,0,0.05173372810299296,0.1509201745812678,7.07991072394746,
hk_hold_chg_5d,45.0033,0,0.21525232538064318,0.013054061341270011,53.09597546631463,
hk_hold_chg_20d,47.8357,0,0.22168502354622158,0.029255584444568522,53.098602886990584,
hk_hold_chg_60d,57.3904,0,0.24515441051409265,0.05100023867255148,52.95898088985297,
hk_hold_chg_180d,85.8912,0,0.7299673046444872,0.11426920577683011,109.90495505398889,
inst_net_30d,9.0893,0,1.6607751428951346e-06,6.895559485904618e-06,0.00013343295079267062,
inst_net_60d,9.0893,0,2.3004430915370055e-06,1.0103598272979556e-05,0.00020954941224462348,
inst_appear_count_60d,3.3110,0,24.237324243913775,120.0,620.0,HUGE_TAIL
mg_buy_30d_ratio,9.0893,0,7.490259189495768e-06,3.825584521099241e-05,0.00014918293050687352,
mg_balance_pct,44.2915,0,2.8422640039139916e-06,1.2244405389188483e-05,9.56228507380008e-05,
mg_short_chg_20d,58.8192,0,67.93867364292998,8.020568582182468,28374.585938606848,
senti_zt_count_30d,0.0000,0,0.0037198323427856768,0.0,1.0,
senti_max_step_60d,0.0000,0,0.8248785189966478,4.0,22.0,
senti_ths_hot_pct,99.1170,0,0.2886132942276753,0.9903846153846154,1.0,DEAD_NULL
sh_holder_num_chg_30d,86.3672,0,0.13504150201052398,0.6012509421439258,3.8700910643141717,
